Pt,Pd,Au,Ir,Eta
0.305,0.0882,0.0446,0.5621,0.378146275
0.2258,0.0858,0.5901,0.0984,0.5083624
0.3194,0.3605,0.2653,0.0549,0.4751525999999999
0.5273,0.1176,0.3237,0.0314,0.5049185999999999
0.2058,0.0902,0.5836,0.1204,0.4763362
0.5015,0.1228,0.3399,0.0358,0.4939016999999999
0.1513,0.3178,0.1059,0.4251,0.3456717280000001
0.1232,0.0679,0.6599,0.149,0.4543216000000001
0.0417,0.1253,0.3351,0.4979,0.29255619999999993
0.1589,0.189,0.4596,0.1924,0.4654288
0.0935,0.1705,0.4324,0.3036,0.41079660000000007
0.0541,0.1918,0.3745,0.3796,0.34804579999999996
0.2968,0.2589,0.3731,0.0712,0.5080648000000001
0.1568,0.0941,0.5826,0.1665,0.45026260000000007
0.0767,0.126,0.4065,0.3907,0.2679448
0.3267,0.1005,0.5033,0.0695,0.5166424000000001
0.17,0.0678,0.6538,0.1084,0.49997099999999994
0.2019,0.3251,0.0794,0.3937,0.34701128000000003
0.3362,0.1524,0.449,0.0624,0.5001039
0.0711,0.1614,0.345,0.4226,0.29368170000000005
0.2084,0.1914,0.4746,0.1256,0.47067499999999995
0.0743,0.2115,0.4438,0.2703,0.38628970000000007
0.3943,0.2626,0.3045,0.0386,0.512629
0.2389,0.4308,0.0492,0.2811,0.3883190700000001
0.4636,0.0972,0.3994,0.0398,0.4907988000000001
0.2616,0.1167,0.5259,0.0957,0.4910235999999999
0.571,0.1548,0.2559,0.0183,0.4974099999999999
0.1933,0.2502,0.4159,0.1406,0.4625348
0.0603,0.0688,0.584,0.2869,0.3940680000000001
0.1704,0.2235,0.0999,0.5062,0.32408010900000006
0.0586,0.1262,0.2125,0.6028,0.2947902550000001
0.0411,0.0921,0.2475,0.6193,0.2443579360000001
0.1157,0.2288,0.4342,0.2213,0.4765272999999999
