Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.1339,0.1461,0.111,0.609,9.512703216669445,1.6260745315722311,1.4405031685934506,0.12755247415325008,0.058372398451187475,0.02198672254041256,Run12-spot30.DTA.csv
0.0845,0.1323,0.1546,0.6286,27.059768467908395,1.7427655145475451,1.538631078381692,0.17612966501911134,0.04070846094709422,0.033993461742512755,Run12-spot31.DTA.csv
0.0586,0.1262,0.2125,0.6028,11.983775226631689,1.6109039167026304,1.4408621832100847,0.12103201402913265,0.04350063583751447,0.02135932894606186,Run12-spot32.DTA.csv
0.0384,0.1138,0.3177,0.53,11.17669829286182,1.572616153798464,1.429788268179257,0.1207952210700013,0.05560528416202201,0.02328444628796376,Run12-spot33.DTA.csv
0.3825,0.1256,0.0314,0.4604,5.172646464680578,1.565892430051161,1.423106752759265,0.12132899034201299,0.014114395334382484,0.0024473397047384536,Run12-spot34.DTA.csv
0.1988,0.1146,0.0741,0.6124,9.244762791042085,1.6456682114057108,1.4470602741579495,0.13118137259289783,0.06246456755792143,0.02211653606330069,Run12-spot36.DTA.csv
0.1375,0.1015,0.094,0.667,10.798011230124038,1.5812020842906434,1.4318314130061336,0.12218243841362363,0.053826576510911245,0.021122566559281526,Run12-spot37.DTA.csv
0.0943,0.0959,0.1192,0.6906,11.799913997748527,1.5439393755408728,1.4167296446255917,0.11356869249385858,0.05869518822289976,0.023245423235122145,Run12-spot38.DTA.csv
0.0639,0.0957,0.1638,0.6766,11.484199246580062,1.562918340182516,1.426180661680357,0.11742159671000847,0.05793290485068201,0.024273674773076036,Run12-spot39.DTA.csv
0.056,0.5051,0.1957,0.2432,10.019732298330888,1.6967515783377694,1.3833750708086638,0.07008268552697056,0.08408151641746203,0.010484675549960371,Run12-spot4.DTA.csv
0.0411,0.0921,0.2475,0.6193,10.518700907085003,1.6023551775551803,1.4484046522737624,0.12757254850371788,0.05242378953475932,0.023183739422966396,Run12-spot40.DTA.csv
0.305,0.0882,0.0446,0.5621,8.277253813467732,1.680645381035838,1.4887762846183026,0.16038291860549536,0.037818951070222824,0.011965711666987993,Run12-spot41.DTA.csv
0.2233,0.0864,0.0585,0.6318,11.461946890949429,1.540158685237071,1.4075774794411657,0.09940330713163868,0.04196159577447489,0.013391157578175526,Run12-spot42.DTA.csv
0.1515,0.0731,0.0734,0.7019,9.331794230106349,1.671248657412509,1.4635675927698066,0.1313115718580477,0.05329277418359226,0.02128797811696082,Run12-spot43.DTA.csv
0.104,0.0704,0.0958,0.7298,11.632398780204799,1.559279481358667,1.4318305608173425,0.11784348963721966,0.05220028022520405,0.020965662906336557,Run12-spot44.DTA.csv
0.0736,0.0714,0.1293,0.7257,12.058624919981943,1.5452768202353397,1.4153110399199216,0.1086868327982719,0.05472200452588027,0.021957590013059754,Run12-spot45.DTA.csv
0.0432,0.4529,0.268,0.2359,9.213462081654207,1.6773527753169506,1.3866113795930084,0.08659211750532576,0.07964802463723814,0.014977240830758961,Run12-spot5.DTA.csv
0.2389,0.4308,0.0492,0.2811,8.362567481047583,1.6862156247389168,1.3885720383688973,0.09689759387111091,0.0737324485289886,0.011511659918578977,Run12-spot6.DTA.csv
0.1764,0.426,0.0821,0.3154,8.094597317102155,1.6799804899436268,1.4052054397264566,0.10551891893796475,0.08479132109378311,0.01546210618199528,Run12-spot7.DTA.csv
0.1294,0.4334,0.1083,0.3288,8.923576342775313,1.643221385400114,1.4076451882143632,0.10291658199892706,0.07155651245749643,0.01657013917501936,Run12-spot8.DTA.csv
0.0919,0.4174,0.1613,0.3294,9.209866030275691,1.6365609887592505,1.4162342966910806,0.11113180832097569,0.07353012899420913,0.020355589346413346,Run12-spot9.DTA.csv
0.1874,0.109,0.5628,0.1409,13.117788793567698,1.746128895301918,1.3599877706530348,0.29999999999999954,0.060440808240301444,0.01162254390387649,Run9-2-spot31.DTA.csv
0.139,0.1152,0.5325,0.2133,11.430053046371334,1.7106536894377937,1.3778098040507245,0.08423956542428494,0.07543352012521427,0.013535344375983764,Run9-2-spot32.DTA.csv
0.116,0.1212,0.459,0.3037,9.390247015827596,1.701625358722558,1.407879134973239,0.10756782656284122,0.07535958721084937,0.019439765071368624,Run9-2-spot33.DTA.csv
0.6525,0.1073,0.2393,0.0009,11.316834014272839,1.7538417203296957,1.2222780420556238,0.07323230408209341,0.07344672578870597,0.005477874047627187,Run9-2-spot34.DTA.csv
0.5396,0.1063,0.3239,0.0302,11.556865665556167,1.7529292431445573,1.2237919432087425,0.07895180879829088,0.07615199320957124,0.004229361970712022,Run9-2-spot35.DTA.csv
0.4261,0.1038,0.4185,0.0516,11.383381102827263,1.7643879156359037,1.235031915913519,0.08035377069586278,0.07162199431995886,0.0024894028925501513,Run9-2-spot36.DTA.csv
0.2963,0.1031,0.5191,0.0815,11.857222128436964,1.7583965013595102,1.2535688998712253,0.096035526306627,0.07976053937171028,0.002626324125899393,Run9-2-spot37.DTA.csv
0.2058,0.0902,0.5836,0.1204,12.277294782433561,1.7470477651412932,1.3483247718855802,0.05260736839702698,0.07055026123172765,0.0030998922347035356,Run9-2-spot38.DTA.csv
0.1568,0.0941,0.5826,0.1665,11.845840324590947,1.719183291671543,1.364289110537269,0.05470830351823466,0.07810285117891307,0.00869112434262649,Run9-2-spot39.DTA.csv
0.1267,0.1018,0.5288,0.2426,10.054743345040528,1.7106097609930209,1.3809209649248924,0.06937879807726029,0.07863262657578492,0.012705616423990762,Run9-2-spot40.DTA.csv
